id,tanggal,platform,link url,teks,label,unnamed: 6,label.1,ciri-ciri kalimat,contoh,panjang_teks,jumlah_kata,teks_clean
1,24/06/2026,X / Twitter,https://x.com/jcnaevis/status/2069805225414987855,Sekarang lagi kualami mau masukin adekku ke sekolah negeri susah. Karena rumahku gada sekolah negeri radius 1 km. Akhirnya ditolak banyak sekolah. Sedangkan yang terdekat sekolah yg lingkungannya krg bagus. Akhirnya cuma bisa ke sekolah swasta. Gegara zonasi.,Negatif,,Positif,"Mengandung dukungan, pujian, atau setuju terhadap zonasi","""Zonasi bagus untuk pemerataan""",259,38,sekarang alam mau masukin adekku sekolah negeri susah rumah gada sekolah negeri radius akhir tolak banyak sekolah dekat sekolah lingkung krg bagus akhir cuma sekolah swasta gegara zonasi
2,24/06/2026,X / Twitter,https://x.com/NovitaYuriah/status/2069628619820081233,"Mau sekolah di Kabupaten sendiri jauh. Mau ke kota kehalang zonasi."" ""Gini amat nasib tinggal di perbatasan.",Negatif,,Negatif,"Mengandung penolakan, kritik, atau keluhan tentang zonasi","""Zonasi tidak adil untuk siswa berprestasi""",108,17,mau sekolah kabupaten sendiri jauh mau kota halang zonasi nasib tinggal batas
3,24/06/2026,X / Twitter,https://x.com/RadioElshinta/status/2069612147903238413,"Film Sekolah Rakyat Segera Hadir, Angkat Kisah Dramatis"" Jakarta - Pemerintah bersama platform Penjaga Harapan berkolaborasi menghadirkan Film Sekolah Rakyat. Film berdurasi sekitar 25 menit tersebut akan diproduksi dengan pendekatan dramatik yang menonjolkan transformasi dari keterbatasan menuju harapan, tanpa mengeksploitasi penderitaan. Doni Adhitia, Koordinator Konten Penjaga Harapan, mengatakan bahwa proyek ini bukan sekadar produksi film, melainkan kerja kolaboratif untuk membawa nilai program ke ruang publik. “Kami berharap film ini menjadi kerja bersama untuk membawa nilai ideologis Sekolah Rakyat kepada masyarakat. Ini bukan sekadar cerita, tapi upaya menghadirkan empati dan pemahaman bahwa program ini benar-benar menyentuh kehidupan masyarakat,” ujarnya dalam audiensi perwakilan Kementerian Sekretariat Negara bersama tim kreatif Penjaga Harapan dengan Wakil Menteri Sosial Agus Jabo Priyono di Kantor Kementerian Sosial, Selasa (23/6/2026). Hadir dalam audiensi tersebut Direktur Utama Penjaga Harapan Wildanshah, Direktur Perkumpulan Warga Muda I Putu Arya, Art Director Maulana Wedy Irkham, Sutradara Bethap Virga Kiswanata, serta Produser Kiky Malik. Menanggapi rencana tersebut, Wamensos Agus Jabo menyatakan dukungan penuh dan menekankan pentingnya hasil yang berdampak. “Kalau ini kita mulai, harus berhasil. Ini bukan sekadar produksi, tapi bagaimana masyarakat bisa melihat bahwa negara hadir dan memberi harapan,” tegasnya. Kemensos juga membuka dukungan yang diperlukan dalam proses produksi, termasuk akses lokasi, data, serta koordinasi dengan unit terkait. Dalam pertemuan tersebut, Agus Jabo menegaskan bahwa Sekolah Rakyat merupakan instrumen negara untuk membuka akses pendidikan bagi anak-anak dari keluarga prasejahtera, bukan tujuan akhir semata. “Sekolah Rakyat ini bukan tujuan, tapi alat yang disediakan negara agar anak-anak dari keluarga miskin bisa mewujudkan cita-citanya dan keluarganya bisa tergraduasi dari kemiskinan,” ujarnya. Ia menjelaskan, mayoritas siswa Sekolah Rakyat berasal dari keluarga desil 1 dan desil 2 DTSEN dengan kondisi ekonomi sangat terbatas. Melalui konsep boarding school, program ini menghadirkan akses pendidikan yang layak tanpa terkendala zonasi maupun keterbatasan geografis. Film yang diinisiasi melalui platform Penjaga Harapan ini dirancang sebagai medium penyampaian nilai dan pesan program kepada masyarakat luas. Cerita akan mengangkat perjalanan seorang anak dari keluarga sederhana yang semula harus bekerja, hingga akhirnya mendapatkan kesempatan bersekolah. Wildanshah, selaku Direktur Utama Penjaga Harapan menyampaikan bahwa inisiatif ini penting sebagai jembatan komunikasi kebijakan kepada publik. “Kami melihat film ini sebagai bagian dari upaya menyampaikan program pemerintah secara lebih membumi dan mudah dipahami masyarakat. Substansi program tetap milik negara, dan pendekatan kreatif seperti ini menjadi pelengkap untuk memperluas jangkauan pesan,” ujar Wildanshah. Film akan diproduksi dengan durasi sekitar 25 menit. Selain itu, akan disiapkan versi singkat berdurasi 30 detik sebagai trailer untuk distribusi di berbagai kanal publik seperti videotron. Produksi film ini diharapkan dapat memperluas keterlibatan komunitas perfilman dalam menyampaikan program strategis pemerintah, sekaligus memperkuat pemahaman publik bahwa peningkatan kualitas sumber daya manusia merupakan kunci dalam pengentasan kemiskinan. Film ini merupakan karya kolaboratif yang mengangkat kisah anak dari keluarga miskin ekstrem yang berjuang mengakses pendidikan. Dengan latar wilayah seperti Cariu dan sekitarnya, cerita menampilkan transformasi kehidupan seorang anak dari kondisi harus bekerja setiap hari, hingga akhirnya memperoleh kesempatan belajar di Sekolah Rakyat. Mengusung pesan “dari gelap menuju terang”, film ini menitikberatkan pada: •Harapan baru bagi anak-anak dari keluarga prasejahtera •Akses pendidikan tanpa hambatan ekonomi dan zonasi •Pembentukan karakter, keterampilan, dan kepercayaan diri •Peran negara dalam memuliakan masyarakat miskin Produksi direncanakan berlangsung selama tiga hari dengan pendekatan berbasis riset dan konsultasi bersama Kemensos serta komunitas film. Keterangan Foto: Wakil Menteri Sosial Agus Jabo Priyono menerima audiensi perwakilan Kemensetneg bersama tim Penjaga Harapan di Kantor Kementerian Sosial RI, membahas rencana produksi film Sekolah Rakyat, Selasa (23/6/2026). Biro Humas Kemensos / Bayu Aprianto @KemensosRI ""#KemensosSelaluAda",Netral,,Netral,Hanya menyampaikan fakta/informasi tanpa opini,"""PPDB zonasi dibuka mulai Juni 2024""",4476,573,film sekolah rakyat segera hadir angkat kisah dramatis jakarta perintah sama platform jaga harap kolaborasi hadir film sekolah rakyat film durasi menit sebut produksi dekat dramatik tonjol transformasi batas tuju harap eksploitasi derita doni adhitia koordinator konten jaga harap kata proyek sekadar produksi film kerja kolaboratif bawa nilai program ruang publik harap film jadi kerja sama bawa nilai ideologis sekolah rakyat masyarakat sekadar cerita upaya hadir empati paham program benar benar sentuh hidup masyarakat ujar audiensi wakil menteri sekretariat negara sama tim kreatif jaga harap wakil menteri sosial agus jabo priyono kantor menteri sosial selasa hadir audiensi sebut direktur utama jaga harap wildanshah direktur kumpul warga muda putu arya art director maulana wedy irkham sutradara bethap virga kiswanata produser kiky malik tanggap rencana sebut wamensos agus jabo nyata dukung penuh tekan penting hasil dampak mulai hasil sekadar produksi bagaimana masyarakat lihat negara hadir beri harap tegas kemensos buka dukung perlu proses produksi masuk akses lokasi data koordinasi unit kait temu sebut agus jabo tegas sekolah rakyat rupa instrumen negara buka akses didik anak anak keluarga prasejahtera tuju akhir semata sekolah rakyat tuju alat sedia negara anak anak keluarga miskin wujud cita cita keluarga tergraduasi miskin ujar jelas mayoritas siswa sekolah rakyat asal keluarga desil desil dtsen kondisi ekonomi sangat batas lalu konsep boarding school program hadir akses didik layak kendala zonasi maupun batas geografis film inisiasi lalu platform jaga harap rancang medium sampai nilai pesan program masyarakat luas cerita angkat jalan orang anak keluarga sederhana mula kerja hingga akhir dapat sempat sekolah wildanshah selaku direktur utama jaga harap sampai inisiatif penting jembatan komunikasi bijak publik lihat film bagi upaya sampai program perintah bumi mudah paham masyarakat substansi program tetap milik negara dekat kreatif jadi lengkap luas jangkau pesan ujar wildanshah film produksi durasi menit siap versi singkat durasi detik trailer distribusi bagai kanal publik videotron produksi film harap luas libat komunitas film sampai program strategis perintah sekaligus kuat paham publik tingkat kualitas sumber daya manusia rupa kunci entas miskin film rupa karya kolaboratif angkat kisah anak keluarga miskin ekstrem juang akses didik latar wilayah cariu sekitar cerita tampil transformasi hidup orang anak kondisi kerja hari hingga akhir oleh sempat ajar sekolah rakyat usung pesan gelap tuju terang film menitikberatkan harap baru anak anak keluarga prasejahtera akses didik hambat ekonomi zonasi bentuk karakter terampil percaya diri peran negara mulia masyarakat miskin produksi rencana langsung lama tiga hari dekat bas riset konsultasi sama kemensos komunitas film terang foto wakil menteri sosial agus jabo priyono terima audiensi wakil kemensetneg sama tim jaga harap kantor menteri sosial bahas rencana produksi film sekolah rakyat selasa biro humas kemensos bayu aprianto
4,23/06/2026,X / Twitter,https://x.com/nashimax10/status/2069463858960592992,"@tanyarlfes Plus yang anak dekat enak dapat sekolah"" ""Minus banyak NUMPANG KK DAN SOGOK BANYAK LEWAT SINI HATE ZONASI",Negatif,,,,,117,19,plus anak dekat enak sekolah minus banyak numpang sogok banyak lewat sini hate zonasi
5,23/06/2026,X / Twitter,https://x.com/tanyarlfes/status/2069366125201162267,💚 sebutkan plus minus sekolah sistem zonasi menurutmu,Netral,,,,,53,8,sebut plus minus sekolah sistem zonasi turut
6,23/06/2026,X / Twitter,https://x.com/miyaszhm/status/2069355494544937422,"Paling sebel itu seleksi via zonasi. Di kecamatan cuma ada 1 SMA dan 2 SMK tapi lokasi rumah jauh dari semua sekolah. Terus kita harus gimana? "" ""Idealnya zonasi kan kita sekolah di kecamatan kita tinggal biar gak terlalu jauh",Negatif,,,,,226,40,paling sebel seleksi zonasi camat cuma sma smk lokasi rumah jauh semua sekolah terus harus gimana ideal zonasi sekolah camat tinggal biar terlalu jauh
7,23/06/2026,X / Twitter,https://x.com/catatanandreans/status/2069355010945905045,@icharis penerimaan sekolah sekarang juga gak masuk akal. saya ingat dulu pernah nonton berita di TV anak pemulung gak bisa sekolah hanya karena alamat orang tuanya ada di desa sementara mereka merantau ke kota. karena gak sesuai zonasi. gila. masa anak gak bisa sekolah karena merantau?,Negatif,,,,,287,46,terima sekolah sekarang masuk akal ingat dulu pernah nonton berita anak pulung sekolah alamat orang tua desa rantau kota sesuai zonasi gila masa anak sekolah karena rantau
8,23/06/2026,X / Twitter,https://x.com/gundala2221/status/2069344302753620460,"BUBAR SAJALAH NEGARA INI!!!!!"" REPOTNYA SEKOLAH DINEGARA INI PANTAS RAKYAT JADI GOBLOK DIBUAT NEGARA!! ZONASI JADI AJANG BISNIS BARU PARA GURU MENTAL KORUP!!! ""ZONASI ANAK GOBLOK BISA MASUK SEKOLAH BAGUS, ANAK YANG BERPRESTASI TERSINGKIR TITIPAN/UANG, SETAN!!! https://t.co/n9fjHwigfZ",Negatif,,,,,284,37,bubar saja negara repot sekolah negara pantas rakyat goblok buat negara zonasi ajang bisnis baru guru mental korup zonasi anak goblok masuk sekolah bagus anak prestasi singkir titip uang setan
9,23/06/2026,X / Twitter,https://x.com/ginaraasyidatus/status/2069305992702300573,"thn lalu adikku ga diterima jalur zonasi, terus aku survei biaya di sma muhammadiyah terdekat. "" terus dapat WA kalau dia diterima jalur zonasi krn ada kuota tambahan atau apalah lupa, yaudah ambil yg sma negeri ""pas udah sekolah ee biaya per bulannya mirip sama sma swasta itu",Positif,,,,,277,48,thn lalu adik terima jalur zonasi terus aku survei biaya sma muhammadiyah dekat terus dia terima jalur zonasi krn kuota tambah apa lupa yaudah ambil sma negeri pas sekolah biaya per bulan mirip sama sma swasta
10,23/06/2026,X / Twitter,https://x.com/poetra_deny/status/2069279963254313400,"@icharis Saya justru ingin seperti dulu. Seleksi berdasarkan nilai ujian nasional. Tidak perlu ngitungin jarak/zonasi. Anak-anak sudah diajarkan kompetitif sejak dini."" ""Hak konstitusional tetap dijamin selama pemerintah bisa menyediakan sekolah negeri sesuai standar.",Netral,,,,,268,33,justru seperti dulu seleksi dasar nilai uji nasional perlu ngitungin jarak zonasi anak anak ajar kompetitif sejak dini hak konstitusional tetap jamin lama perintah sedia sekolah negeri sesuai standar
